ID,Fase,Token,Lexema,Linea,Descripcion
"Error5","semantic",,,5,"Operación inválida '+' entre chara y nummy"
"Error6","semantic",,"papuvar_name_",5,"Incompatibilidad: no se puede asignar nummy a chara"
"Error7","semantic",,"papuvar_cont_",6,"Incompatibilidad: no se puede asignar numpt a nummy"
"Error8","semantic","ID","papuvar_HP_1",7,"Variable no declarada"
"Error9","semantic","ID","papuvar_danio_epico_",8,"Variable no declarada"
"Error10","semantic","ID","papuvar_hechizo#1",9,"Variable no declarada"
"Error11","semantic","ID","papuvar_pos_x_1",10,"Variable no declarada"
"Error12","semantic","ID","papuvar_pos_y_1",11,"Variable no declarada"
"Error13","semantic","ID","papuvar_HP_1",12,"Variable usada antes de declarar"
"Error14","semantic","ID","papuvar_last_time_",13,"Variable no declarada"
"Error15","semantic","ID","papuvar_dt_",14,"Variable no declarada"
"Error16","semantic","ID","papuvar_pos_x_1",15,"Variable no declarada"
"Error17","semantic","ID","papuvar_pos_y_1",16,"Variable no declarada"
"Error18","semantic","ID","papuvar_HP_1",17,"Variable no declarada"
"Error19","semantic","ID","papuvar#max#",18,"Variable no declarada"
"Error20","semantic","ID","papuvar_time_",20,"Variable no declarada"
"Error21","semantic",,"papuvar_name_",23,"Incompatibilidad: no se puede asignar nummy a chara"
"Error22","syntax","COMMA",",",1,"Se esperaba token: SEMI"
"Error23","syntax","COMMA",",",1,"Instrucción inesperada"
"Error24","syntax","COMMA",",",3,"Se esperaba token: SEMI"
"Error25","syntax","COMMA",",",3,"Instrucción inesperada"
