name,type
"nummy","NONE"
"papuvar_abc_Def_1","NUMMY"
",","NONE"
"papuvar_Aa_88","NUMMY"
";","NONE"
"numpt","NONE"
"papuvar#X_","NUMPT"
"chara","NONE"
"papuvar_hey#","CHARA"
"=","NONE"
"""8""","CHARA"
"""66""","CHARA"
"+","NONE"
"papuvar_abc_Def_188","NONE"
"1","NUMMY"
"*","NONE"
"88","NUMMY"
"while","NONE"
"(","NONE"
"<=","NONE"
"20","NUMMY"
"3","NUMMY"
"||","NONE"
">","NONE"
"0","NUMMY"
")","NONE"
"{","NONE"
"papuvar_abc_Def_122","NONE"
"""1""","CHARA"
"}","NONE"
"""2.5""","CHARA"
"-","NONE"
"papuvar#X_999","NONE"
,"NONE"
